Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MariaDB,0,1848.848,22186.18,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB per month), Instance type (db.r5.4xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,3894.67,46736.04,USD,"Operating system (Linux), Quantity (24), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,2516.45,30197.40,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Instance type (t3.2xlarge)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,62.05,744.60,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),S3 Standard,0,412.1,4945.20,USD,S3 Standard storage (15 TB per month)
My Estimate,US East (N. Virginia),S3 Standard - Infrequent Access,0,902.64,10831.68,USD,S3 Infrequent Access storage (50 TB per month)
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EIPs per instance (1), Number of EC2 instances (4)"

"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
